Codigo,clave,descripcion
11109,PLAP-15L,"Plastiprotector 15 m, uso ligero"
11110,BAV-1/16,Broca de alta velocidad 1/16'
11112,BAV-5/64,Broca de alta velocidad 5/64'
11114,BAV-3/32,Broca de alta velocidad 3/32'
11116,BAV-7/64,Broca de alta velocidad 7/64'
11118,BAV-1/8,Broca de alta velocidad 1/8'
11120,BAV-9/64,Broca de alta velocidad 9/64'
11122,BAV-5/32,Broca de alta velocidad 5/32'
11124,BAV-11/64,Broca de alta velocidad 11/64'
11125,SOD-LI,"Levantador de pasto, cabeza 9' X 4-3/4'"
11126,BAV-3/16,Broca de alta velocidad 3/16'
11127,MAN-3/4X,"Manguera 3/4', super reforzada, 100 m"
11128,BAV-13/64,Broca de alta velocidad 13/64'
11129,MAN-1X,"Manguera 1', super reforzada, 50 m"
11130,BAV-7/32,Broca de alta velocidad 7/32'
11131,CA-36M,"Cavador Atlas, mango 48' de acero"
11132,BAV-15/64,Broca de alta velocidad 15/64'
11133,HM-4FX,"Hacha Michigan, 4 lb, mango fibra de vid"
11134,BAV-1/4,Broca de alta velocidad 1/4'
11135,MD-10FX,"Marro 10 lb, mango fibra de vidrio"
11136,BAV-17/64,Broca de alta velocidad 17/64'
11137,TJR-8FX,"Tajadera Rapid, 8 lb"
11138,BAV-9/32,Broca de alta velocidad 9/32'
